Crop	Village	Total_visits
Allium_sativum	CHAU	1
Allium_sativum	CHUM	1
Allium_sativum	LORP	1
Allium_sativum	TIRK	2
Juglans_regia	CHAU	2
Juglans_regia	CHUM	1
Juglans_regia	GADI	1
Juglans_regia	LUMA	4
Juglans_regia	PERE	8
Juglans_regia	URTH	1
Phaseolus_vulgaris	CHAU	9
Phaseolus_vulgaris	CHUM	12
Phaseolus_vulgaris	GADI	25
Phaseolus_vulgaris	LORP	2
Phaseolus_vulgaris	LUMA	3
Phaseolus_vulgaris	PATM	7
Phaseolus_vulgaris	PERE	3
Phaseolus_vulgaris	RINI	51
Phaseolus_vulgaris	TIRK	6
Phaseolus_vulgaris	URTH	1
Allium_tuberosum	PERE	24
Momordica_balsamina	LORP	3
Capsicum_sp.	CHAU	6
Capsicum_sp.	LORP	6
Capsicum_sp.	LUMA	16
Capsicum_sp.	PERE	12
Capsicum_sp.	RINI	5
Capsicum_sp.	TIRK	31
Capsicum_sp.	URTH	10
Colocasia_esculenta	RINI	1
Prunus_persica	LUMA	1
Prunus_persica	PATM	4
Prunus_persica	PERE	2
Prunus_persica	RINI	2
Prunus_persica	TIRK	1
Allium_cepa	CHAU	1
Allium_cepa	GADI	1
Allium_cepa	LORP	2
Allium_cepa	PERE	2
Allium_cepa	RINI	1
Allium_cepa	TIRK	6
Origanum_vulgare	CHAU	14
Origanum_vulgare	CHUM	1
Origanum_vulgare	GADI	18
Origanum_vulgare	LORP	14
Origanum_vulgare	LUMA	10
Origanum_vulgare	PATM	39
Origanum_vulgare	RINI	59
Origanum_vulgare	TIRK	20
Origanum_vulgare	URTH	94
Solanum_tuberosum	CHAU	5
Solanum_tuberosum	CHUM	19
Solanum_tuberosum	GADI	12
Solanum_tuberosum	LORP	30
Solanum_tuberosum	LUMA	8
Solanum_tuberosum	PATM	2
Solanum_tuberosum	PERE	4
Solanum_tuberosum	RINI	84
Solanum_tuberosum	TIRK	9
Zea_mays	CHUM	1
Zea_mays	GADI	1
Zea_mays	RINI	8
Daucus_carota	CHAU	3
Daucus_carota	LORP	6
Daucus_carota	TIRK	2
Beta_vulgaris	CHUM	2
Beta_vulgaris	GADI	1
Beta_vulgaris	LORP	1
Beta_vulgaris	PERE	3
Beta_vulgaris	RINI	1
Beta_vulgaris	URTH	1
Canavalia_ensiformis	RINI	1
Cyclanthera_pedata	CHAU	20
Cyclanthera_pedata	CHUM	4
Cyclanthera_pedata	GADI	16
Cyclanthera_pedata	LORP	32
Cyclanthera_pedata	LUMA	41
Cyclanthera_pedata	PATM	9
Cyclanthera_pedata	PERE	21
Cyclanthera_pedata	RINI	31
Cyclanthera_pedata	TIRK	63
Cyclanthera_pedata	URTH	106
Cucurbita_pepo	URTH	2
Anethum_graveolens	LORP	4
Prunus_domestica	LUMA	1
Prunus_domestica	PATM	1
Prunus_domestica	PERE	1
Prunus_domestica	RINI	1
Brassica_alba	CHAU	93
Brassica_alba	CHUM	64
Brassica_alba	GADI	48
Brassica_alba	LORP	47
Brassica_alba	LUMA	152
Brassica_alba	PATM	93
Brassica_alba	PERE	169
Brassica_alba	RINI	128
Brassica_alba	TIRK	85
Brassica_alba	URTH	195
Foeniculum_vulgare	RINI	1
Cannabis_sativa	CHUM	1
Pisum_sativum	CHAU	4
Pisum_sativum	GADI	1
Pisum_sativum	RINI	2
Pisum_sativum	URTH	3
Lycopersicon_esculentum	LORP	9
Lycopersicon_esculentum	RINI	1
Cucurbita_maxima	CHAU	3
Cucurbita_maxima	CHUM	22
Cucurbita_maxima	GADI	2
Cucurbita_maxima	LORP	38
Cucurbita_maxima	LUMA	49
Cucurbita_maxima	PATM	14
Cucurbita_maxima	PERE	34
Cucurbita_maxima	RINI	48
Cucurbita_maxima	TIRK	50
Cucurbita_maxima	URTH	5
Spinacia_oleracea	RINI	2
Sorghum_bicolor	GADI	2
Helianthus_annuus	CHAU	3
Helianthus_annuus	CHUM	3
Helianthus_annuus	LORP	9
Helianthus_annuus	PERE	14
Helianthus_annuus	RINI	21
Helianthus_annuus	TIRK	19
Helianthus_annuus	URTH	4
Allium_sp._01	CHAU	2
Phaseolus_coccineus	CHUM	3
Phaseolus_coccineus	LUMA	2
Phaseolus_coccineus	PATM	3
Raphanus_sativus	CHAU	21
Raphanus_sativus	CHUM	24
Raphanus_sativus	GADI	5
Raphanus_sativus	LORP	30
Raphanus_sativus	LUMA	22
Raphanus_sativus	PATM	53
Raphanus_sativus	PERE	20
Raphanus_sativus	RINI	56
Raphanus_sativus	TIRK	50
Raphanus_sativus	URTH	71
Nicotiana_tabacum	CHAU	6
Nicotiana_tabacum	PATM	4
Cyphomandra_betacea	LORP	2
Eleusine_coracana	GADI	7
Cucumis_sativus	CHAU	3
Cucumis_sativus	CHUM	2
Cucumis_sativus	GADI	2
Cucumis_sativus	LORP	3
Cucumis_sativus	RINI	2
Cucumis_sativus	URTH	9
Hordeum_vulgare	CHUM	1
Hordeum_vulgare	PATM	2
Fagopyrum_esculentum	GADI	1
Basella_alba	LUMA	30
Basella_alba	RINI	13
Coriandrum_sativum	CHAU	29
Coriandrum_sativum	CHUM	21
Coriandrum_sativum	GADI	5
Coriandrum_sativum	LORP	30
Coriandrum_sativum	LUMA	31
Coriandrum_sativum	PATM	13
Coriandrum_sativum	PERE	32
Coriandrum_sativum	RINI	26
Coriandrum_sativum	TIRK	23
Coriandrum_sativum	URTH	118
Malus_domestica	CHAU	27
Malus_domestica	CHUM	45
Malus_domestica	GADI	59
Malus_domestica	LORP	7
Malus_domestica	LUMA	55
Malus_domestica	PATM	26
Malus_domestica	PERE	68
Malus_domestica	RINI	5
Malus_domestica	TIRK	15
Malus_domestica	URTH	29
Mentha_piperita	LORP	1
Brassica_oleracea	LORP	2
Brassica_oleracea	LUMA	1
Solanum_melongena	CHAU	1
Solanum_melongena	LORP	1
Fagopyrum_tataricum	CHAU	3
Fagopyrum_tataricum	CHUM	2
Fagopyrum_tataricum	GADI	1
Fagopyrum_tataricum	PATM	2
Fagopyrum_tataricum	RINI	4
Lepidium_sativum	CHAU	2
Lepidium_sativum	GADI	2
Lepidium_sativum	LORP	1
Lepidium_sativum	PATM	4
Lepidium_sativum	RINI	8
Lepidium_sativum	TIRK	1
Lepidium_sativum	URTH	1
